Summary,Issue Type,Project Key,Assignee,Priority,Labels,Description
"""Customer reported login failure.""","""Story""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Request to update contact information.""","""Story""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Inquiry about recent billing charges.""","""Story""","""sc""","""Unassigned""","""High""","""""",""""""
"""Complaint about product delivery delays.""","""Task""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Request for refund due to defective product.""","""Task""","""sc""","""Unassigned""","""High""","""""",""""""
"""Inquiry about warranty terms.""","""Task""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Request to reset account password.""","""Story""","""sc""","""Unassigned""","""High""","""""",""""""
"""Complaint about incorrect billing.""","""Task""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Customer asked for product replacement.""","""Task""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Feedback about poor customer service experience.""","""Story""","""sc""","""Unassigned""","""High""","""""",""""""
"""Request for invoice copy.""","""Task""","""sc""","""Unassigned""","""High""","""""",""""""
"""Inquiry about loyalty program points.""","""Story""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Report of unauthorized account access.""","""Story""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Request to cancel subscription.""","""Task""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Complaint about frequent service outages.""","""Story""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Inquiry about service availability in a new location.""","""Task""","""sc""","""Unassigned""","""High""","""""",""""""
"""Request to transfer account ownership.""","""Task""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Feedback about new product features.""","""Story""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Customer request for expedited service delivery.""","""Story""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Report of duplicate charges on credit card.""","""Task""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Categorize customer complaints by urgency.""","""Story""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Assign ""High Priority"" to login failures.""","""Story""","""sc""","""Unassigned""","""High""","""""",""""""
"""Create labels for subscription cancellations.""","""Story""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Filter and prioritize refund requests.""","""Task""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Escalate critical issues to the operations team.""","""Task""","""sc""","""Unassigned""","""High""","""""",""""""
"""Assign billing-related issues to the finance team.""","""Task""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Organize complaints about outages for root cause analysis.""","""Story""","""sc""","""Unassigned""","""High""","""""",""""""
"""Tag account access issues for security investigation.""","""Task""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Create a sub-task for each refund request.""","""Story""","""sc""","""Unassigned""","""Medium""","""""",""""""
"""Assign loyalty point inquiries to the marketing team.""","""Story""","""sc""","""Unassigned""","""Low""","""""",""""""
"""Prioritize duplicate charge issues as ""Critical.""""","""Story""","""sc""","""Unassigned""","""Low""","""""",""""""
